event_id,num_perimeters_0_5h,dt_first_last_0_5h,low_temporal_resolution_0_5h,area_first_ha,area_growth_abs_0_5h,area_growth_rel_0_5h,area_growth_rate_ha_per_h,log1p_area_first,log1p_growth,log_area_ratio_0_5h,relative_growth_0_5h,radial_growth_m,radial_growth_rate_m_per_h,centroid_displacement_m,centroid_speed_m_per_h,spread_bearing_deg,spread_bearing_sin,spread_bearing_cos,dist_min_ci_0_5h,dist_std_ci_0_5h,dist_change_ci_0_5h,dist_slope_ci_0_5h,closing_speed_m_per_h,closing_speed_abs_m_per_h,projected_advance_m,dist_accel_m_per_h2,dist_fit_r2_0_5h,alignment_cos,alignment_abs,cross_track_component,along_track_speed,event_start_hour,event_start_dayofweek,event_start_month,time_to_hit_hours,event
10892457,3,4.265188315,0,79.6963044,2.875934607,0.036086173,0.674280804,4.39069278,1.354786823,0.035450318,0.036086173,9.007182413,2.111790089,8.274970757,1.9401185,70.13050741,0.94046923,0.339878841,6166.121596,0.205085268,0.43505155,0.10909975,-0.102000549,0.102000549,-0.43505155,0.072756109,0.886373271,-0.054649077,0.054649077,-1.937219231,-0.106025686,19,4,5,18.89251185,0
11757157,2,1.169917662,0,8.946749378,0,0,0,2.297245802,0,0,0,0,0,0,0,0,0,1,2930.925956,0,0,-3.89E-13,0,0,0,0,0,-0.568898211,0.568898211,0,0,4,4,6,22.04810801,1
11945086,4,4.777526033,0,106.4826377,0,0,0,4.677329325,0,0,0,0,0,0,0,0,0,1,3272.37509,0,0,-1.39E-13,0,0,0,7.97E-14,0,0.882385438,0.882385438,0,0,22,4,8,0.888895483,1
12044083,1,0,1,67.63112471,0,0,0,4.228746145,0,0,0,0,0,0,0,0,0,1,64119.87138,0,0,0,0,0,0,0,0,0,0,0,0,20,5,8,60.95302147,0
12052347,2,4.975273027,0,35.63287351,0,0,0,3.600946021,0,0,0,0,0,0,0,0,0,1,18005.43226,0,0,3.66E-13,0,0,0,0,0,0.934634116,0.934634116,0,0,21,5,7,44.99027447,0
12773599,1,0,1,184.7676097,0,0,0,5.224496483,0,0,0,0,0,0,0,0,0,1,35232.56297,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,44.02638364,0
13122360,1,0,1,119.3642031,0,0,0,4.790522173,0,0,0,0,0,0,0,0,0,1,3530.472886,0,0,0,0,0,0,0,0,0,0,0,0,21,1,3,14.84539185,1
13745272,1,0,1,1388.283778,0,0,0,7.236543626,0,0,0,0,0,0,0,0,0,1,8038.691359,0,0,0,0,0,0,0,0,0,0,0,0,16,0,6,66.76792704,0
15247236,2,1.892775762,0,4.493970165,0,0,0,1.703651157,0,0,0,0,0,0,0,0,0,1,31758.58114,0,0,0,0,0,0,0,0,0.106322185,0.106322185,0,0,18,5,8,39.91263007,0
15743535,1,0,1,5.218524435,0,0,0,1.82753265,0,0,0,0,0,0,0,0,0,1,1995.042356,0,0,0,0,0,0,0,0,0,0,0,0,17,2,7,54.63810941,1
15846088,1,0,1,634.4801393,0,0,0,6.454380838,0,0,0,0,0,0,0,0,0,1,260304.5127,0,0,0,0,0,0,0,0,0,0,0,0,21,3,8,66.64396895,0
16870867,1,0,1,117.2198902,0,0,0,4.772546367,0,0,0,0,0,0,0,0,0,1,2702.951028,0,0,0,0,0,0,0,0,0,0,0,0,22,1,7,15.92468789,1
17127751,1,0,1,17.34201326,0,0,0,2.909194235,0,0,0,0,0,0,0,0,0,1,4262.34909,0,0,0,0,0,0,0,0,0,0,0,0,22,3,7,10.90745899,1
17735080,1,0,1,49.25825835,0,0,0,3.917174879,0,0,0,0,0,0,0,0,0,1,482691.6929,0,0,0,0,0,0,0,0,0,0,0,0,23,6,3,18.28046528,0
17888481,1,0,1,36.6834593,0,0,0,3.629221253,0,0,0,0,0,0,0,0,0,1,300641.4205,0,0,0,0,0,0,0,0,0,0,0,0,21,1,9,55.46434273,0
18032557,1,0,1,1749.278716,0,0,0,7.467530321,0,0,0,0,0,0,0,0,0,1,54957.2035,0,0,0,0,0,0,0,0,0,0,0,0,20,2,6,64.56748538,0
18104294,1,0,1,147.3579248,0,0,0,4.999627765,0,0,0,0,0,0,0,0,0,1,1742.764246,0,0,0,0,0,0,0,0,0,0,0,0,14,1,9,23.84384341,1
18150961,2,3.003965944,0,9.167085205,0,0,0,2.319155562,0,0,0,0,0,0,0,0,0,1,2965.217571,0,0,-1.51E-13,0,0,0,0,0,0.953682474,0.953682474,0,0,17,3,7,3.534845605,1
18292206,12,4.865635108,0,25.21905773,20.26269337,0.803467504,4.164449846,3.266486541,3.056954052,0.589711185,0.803467504,97.16235777,19.96910077,169.3156525,34.79826349,60.41243838,0.869602139,0.493753096,1135.260951,0,0,3.44E-13,0,0,0,-1.58E-13,0,0.437704344,0.437704344,31.28777854,15.2313511,22,6,8,5.81815958,1
18475932,1,0,1,3638.729983,0,0,0,8.199664777,0,0,0,0,0,0,0,0,0,1,495662.4937,0,0,0,0,0,0,0,0,0,0,0,0,23,0,4,66.42810308,0
18522515,1,0,1,1255.878023,0,0,0,7.136386166,0,0,0,0,0,0,0,0,0,1,7223.986277,0,0,0,0,0,0,0,0,0,0,0,0,21,5,8,37.39476051,0
18675176,1,0,1,133.1892338,0,0,0,4.899250996,0,0,0,0,0,0,0,0,0,1,34605.5164,0,0,0,0,0,0,0,0,0,0,0,0,23,4,7,24.17249952,0
19306260,1,0,1,71.41059639,0,0,0,4.282352648,0,0,0,0,0,0,0,0,0,1,45739.22238,0,0,0,0,0,0,0,0,0,0,0,0,18,3,7,66.44223063,0
19552816,1,0,1,323.0736768,0,0,0,5.780970887,0,0,0,0,0,0,0,0,0,1,754124.4345,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,61.26587258,0
19771815,7,4.308694649,0,193.3111833,35.32125262,0.182717068,8.197669016,5.269460912,3.592403042,0.167814391,0.182717068,68.65945778,15.93509482,45.71640554,10.61026814,132.6570115,0.735423206,-0.677608079,2617.383508,14.24309673,40.70303923,4.406513573,-9.446721697,9.446721697,-40.70303923,10.50067698,0.168120231,-0.888016811,0.888016811,-4.87871785,-9.422096478,8,3,8,0.523763411,1
20307683,1,0,1,37.72642641,0,0,0,3.65652222,0,0,0,0,0,0,0,0,0,1,756438.2813,0,0,0,0,0,0,0,0,0,0,0,0,21,1,3,57.64380657,0
20620516,9,4.994457123,0,106.4877065,53.8626524,0.505810991,10.7844859,4.677376483,4.004832833,0.409331614,0.505810991,132.2270894,26.47476715,450.4176981,90.18351485,95.74262729,0.994981402,-0.10006003,1784.174351,100.3574533,212.8903073,56.83809874,-42.62531484,42.62531484,-212.8903073,9.809666189,0.54293779,-0.373890171,0.373890171,83.64277382,-33.71872977,19,2,7,1.397969324,1
20698681,1,0,1,424.7882203,0,0,0,6.053942087,0,0,0,0,0,0,0,0,0,1,2684.938303,0,0,0,0,0,0,0,0,0,0,0,0,22,2,5,2.564439619,1
21481903,1,0,1,515.4908094,0,0,0,6.247057494,0,0,0,0,0,0,0,0,0,1,123439.3395,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,62.8166641,0
21530188,1,0,1,2300.009048,0,0,0,7.741103022,0,0,0,0,0,0,0,0,0,1,168375.4595,0,0,0,0,0,0,0,0,0,0,0,0,16,5,8,48.92529547,0
21692904,4,4.814281675,0,255.035402,0,0,0,5.545315724,0,0,0,0,0,0,0,0,0,1,2429.801581,0,0,-6.41E-14,0,0,0,-4.65E-14,0,0.991633788,0.991633788,0,0,19,1,9,0.584172862,1
22577693,2,3.901123272,0,65.5204179,0,0,0,4.197508937,0,0,0,0,0,0,0,0,0,1,1315.955435,0,0,-2.91E-14,0,0,0,0,0,0.574469574,0.574469574,0,0,6,3,6,5.458663007,1
22620173,1,0,1,17.77225088,0,0,0,2.932379762,0,0,0,0,0,0,0,0,0,1,2035.178565,0,0,0,0,0,0,0,0,0,0,0,0,19,6,8,37.61671081,1
22622416,1,0,1,215.7885081,0,0,0,5.378922261,0,0,0,0,0,0,0,0,0,1,281070.0072,0,0,0,0,0,0,0,0,0,0,0,0,22,3,7,66.2710855,0
23007167,1,0,1,3316.037397,0,0,0,8.106827313,0,0,0,0,0,0,0,0,0,1,73004.06017,0,0,0,0,0,0,0,0,0,0,0,0,19,4,7,63.71642466,0
23708068,1,0,1,29.92427021,0,0,0,3.431541319,0,0,0,0,0,0,0,0,0,1,125950.4087,0,0,0,0,0,0,0,0,0,0,0,0,20,3,6,18.80461026,0
23886014,1,0,1,845.1139642,0,0,0,6.74065406,0,0,0,0,0,0,0,0,0,1,3222.856454,0,0,0,0,0,0,0,0,0,0,0,0,18,3,7,3.211343435,1
24491699,1,0,1,14.9573065,0,0,0,2.769916812,0,0,0,0,0,0,0,0,0,1,2582.868335,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,14.72813988,1
24514437,1,0,1,396.0462875,0,0,0,5.984052867,0,0,0,0,0,0,0,0,0,1,299438.3618,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,66.40391279,0
24870571,1,0,1,3434.827782,0,0,0,8.14201316,0,0,0,0,0,0,0,0,0,1,40011.74105,0,0,0,0,0,0,0,0,0,0,0,0,20,3,7,65.68965437,0
24959246,1,0,1,20.17062655,0,0,0,3.052614681,0,0,0,0,0,0,0,0,0,1,255528.74,0,0,0,0,0,0,0,0,0,0,0,0,18,4,8,66.44899791,0
25027537,3,4.256380719,0,22.44041287,0.28789224,0.012829186,0.067637803,3.154461579,0.253006959,0.012747589,0.012829186,1.708926354,0.401497532,0.522577584,0.122775104,192.8720702,-0.222774925,-0.974869905,15398.26074,0.008423523,0.01786899,0.004518623,-0.004198165,0.004198165,-0.01786899,0.002799252,0.917414799,-0.036130785,0.036130785,-0.12269494,-0.004435961,2,0,6,11.25434434,0
25766655,3,3.798553041,0,35.11873173,13.09095654,0.372762793,3.446300841,3.586811615,2.645533211,0.316825339,0.372762793,57.39013944,15.10842124,128.1182149,33.72816267,107.20295,0.955263136,-0.295757234,2622.152614,41.97214273,89.03636024,25.22867172,-23.43954639,23.43954639,-89.03636024,17.51390834,0.91738632,-0.679881509,0.679881509,-24.73360321,-22.93115412,22,6,6,1.475231022,1
25909534,7,2.336493922,0,12.10249446,0.001296169,0.000107099,0.00055475,2.572802629,0.00129533,0.000107094,0.000107099,0.01051012,0.004498244,0.059484046,0.025458678,102.3229252,0.976960259,-0.213421304,4495.637587,0.019515121,-0.055769104,-0.008527466,0.023868714,0.023868714,0.055769104,-0.067844278,0.104229244,0.937066632,0.937066632,0.008888912,0.023856478,22,2,8,1.992963737,1
26151072,1,0,1,1682.296667,0,0,0,7.428509452,0,0,0,0,0,0,0,0,0,1,2832.952535,0,0,0,0,0,0,0,0,0,0,0,0,16,6,8,4.443049116,1
26429413,2,4.017882953,0,73.4086868,0,0,0,4.309572693,0,0,0,0,0,0,0,0,0,1,23677.41352,0,0,-9.05E-13,0,0,0,0,0,-0.204216877,0.204216877,0,0,23,1,6,12.82117832,0
26940253,1,0,1,1132.269317,0,0,0,7.032861935,0,0,0,0,0,0,0,0,0,1,210184.4636,0,0,0,0,0,0,0,0,0,0,0,0,22,5,7,59.77084045,0
27517432,1,0,1,16.72792353,0,0,0,2.875140997,0,0,0,0,0,0,0,0,0,1,2116.539325,0,0,0,0,0,0,0,0,0,0,0,0,20,2,8,1.577859773,1
27991695,1,0,1,6319.918369,0,0,0,8.751619788,0,0,0,0,0,0,0,0,0,1,67098.627,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,60.31399018,0
28132196,1,0,1,316.0503277,0,0,0,5.759060524,0,0,0,0,0,0,0,0,0,1,263598.9583,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,61.48176814,0
28212683,5,4.958128295,0,3.74205773,0,0,0,1.556471162,0,0,0,0,0,0,0,0,0,1,390952.4411,0,0,-1.60E-11,0,0,0,4.28E-11,0,-0.849087272,0.849087272,0,0,19,3,8,47.99702154,0
30421787,1,0,1,40.08330372,0,0,0,3.715601804,0,0,0,0,0,0,0,0,0,1,254943.4745,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,65.0849293,0
31054513,1,0,1,758.0770495,0,0,0,6.632103287,0,0,0,0,0,0,0,0,0,1,261138.9985,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,66.29603577,0
31560147,2,0.338524544,1,0.346640246,0,0,0,0.297612784,0,0,0,0,0,0,0,0,0,1,1883.107972,0,0,-6.72E-13,0,0,0,0,0,0.003611314,0.003611314,0,0,20,0,6,13.65678696,1
31948591,1,0,1,1135.608316,0,0,0,7.035803945,0,0,0,0,0,0,0,0,0,1,99977.90036,0,0,0,0,0,0,0,0,0,0,0,0,18,0,4,21.07246216,0
32093256,1,0,1,46.6042515,0,0,0,3.862922074,0,0,0,0,0,0,0,0,0,1,72614.64562,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,66.13177204,0
33502571,1,0,1,1686.850917,0,0,0,7.431211352,0,0,0,0,0,0,0,0,0,1,124717.0384,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,61.79932206,0
33928266,1,0,1,6.301274202,0,0,0,1.988048881,0,0,0,0,0,0,0,0,0,1,2670.51616,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,14.47369829,1
34027802,1,0,1,515.0204724,0,0,0,6.24614644,0,0,0,0,0,0,0,0,0,1,139177.6806,0,0,0,0,0,0,0,0,0,0,0,0,16,0,9,62.86164433,0
34501712,1,0,1,38.21645907,0,0,0,3.669096533,0,0,0,0,0,0,0,0,0,1,21807.3387,0,0,0,0,0,0,0,0,0,0,0,0,19,6,8,39.96354986,0
34889301,3,3.91346827,0,538.8039593,0,0,0,6.291206035,0,0,0,0,0,0,0,0,0,1,1187.206573,0,0,-4.12E-14,0,0,0,0,0,-0.039724922,0.039724922,0,0,22,3,8,0.064360955,1
34908295,1,0,1,298.4864311,0,0,0,5.702069111,0,0,0,0,0,0,0,0,0,1,476870.4105,0,0,0,0,0,0,0,0,0,0,0,0,21,0,7,63.96079637,0
34940889,5,4.088955947,0,58.19741306,0,0,0,4.080877843,0,0,0,0,0,0,0,0,0,1,2009.240815,0,0,3.13E-13,0,0,0,-7.51E-13,0,-0.395497807,0.395497807,0,0,19,0,8,0.001220212,1
35324503,1,0,1,177.0120725,0,0,0,5.181851371,0,0,0,0,0,0,0,0,0,1,61570.97752,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,65.57716616,0
35610300,1,0,1,100.993642,0,0,0,4.624910478,0,0,0,0,0,0,0,0,0,1,219692.3611,0,0,0,0,0,0,0,0,0,0,0,0,22,2,8,66.05308406,0
35949465,1,0,1,21.1305803,0,0,0,3.096960376,0,0,0,0,0,0,0,0,0,1,282251.3769,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,64.61591896,0
36527758,1,0,1,2.593503351,0,0,0,1.27912759,0,0,0,0,0,0,0,0,0,1,13897.58478,0,0,0,0,0,0,0,0,0,0,0,0,21,3,6,15.94961287,0
36999334,1,0,1,3.061807927,0,0,0,1.401628177,0,0,0,0,0,0,0,0,0,1,8724.627646,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,61.0719374,0
37136049,1,0,1,407.2885328,0,0,0,6.011974113,0,0,0,0,0,0,0,0,0,1,149724.4636,0,0,0,0,0,0,0,0,0,0,0,0,22,2,7,66.03053782,0
37780023,1,0,1,633.5757465,0,0,0,6.45295666,0,0,0,0,0,0,0,0,0,1,94772.87409,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,66.20297957,0
38112926,1,0,1,90.71794899,0,0,0,4.518718096,0,0,0,0,0,0,0,0,0,1,260353.7685,0,0,0,0,0,0,0,0,0,0,0,0,5,6,8,65.02322653,0
38412292,1,0,1,56.17910389,0,0,0,4.046188515,0,0,0,0,0,0,0,0,0,1,55358.11567,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,66.57004031,0
38909367,6,4.800517813,0,0.590399526,0.030236834,0.051214191,0.006298661,0.463985259,0.029788712,0.049945786,0.051214191,1.096230114,0.228356639,1.607917859,0.334946754,45.82741426,0.717244097,0.696822004,68906.90839,0.477326057,1.280800647,0.222161586,-0.266804686,0.266804686,-1.280800647,0.348412236,0.545180992,-0.797194403,0.797194403,-0.202214954,-0.267017678,22,2,7,1.286129994,0
39324200,1,0,1,1920.875526,0,0,0,7.561056824,0,0,0,0,0,0,0,0,0,1,430518.1306,0,0,0,0,0,0,0,0,0,0,0,0,20,5,2,49.5517386,0
39687487,2,1.424188072,0,2.011464239,0,0,0,1.102426419,0,0,0,0,0,0,0,0,0,1,2653.801642,0,0,0,0,0,0,0,0,0.488863685,0.488863685,0,0,19,0,9,0.743441951,1
39841201,1,0,1,53.13394041,0,0,0,3.991461353,0,0,0,0,0,0,0,0,0,1,167002.9619,0,0,0,0,0,0,0,0,0,0,0,0,23,2,7,66.01104327,0
40086180,1,0,1,1769.247929,0,0,0,7.478874889,0,0,0,0,0,0,0,0,0,1,6468.176086,0,0,0,0,0,0,0,0,0,0,0,0,13,1,9,28.60549494,0
40504901,1,0,1,4518.738109,0,0,0,8.416209331,0,0,0,0,0,0,0,0,0,1,539570.734,0,0,0,0,0,0,0,0,0,0,0,0,18,5,3,66.96691892,0
41218264,2,4.581183654,0,273.618703,0,0,0,5.615383601,0,0,0,0,0,0,0,0,0,1,5451.050457,0,0,0,0,0,0,0,0,-0.556560407,0.556560407,0,0,23,5,7,18.80777346,0
41274865,1,0,1,1668.034139,0,0,0,7.420000378,0,0,0,0,0,0,0,0,0,1,597082.5931,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,54.5506737,0
42563089,1,0,1,38.88046425,0,0,0,3.685886586,0,0,0,0,0,0,0,0,0,1,86440.83455,0,0,0,0,0,0,0,0,0,0,0,0,21,0,8,39.92113361,0
42731036,1,0,1,6.801548077,0,0,0,2.054322185,0,0,0,0,0,0,0,0,0,1,2283.942367,0,0,0,0,0,0,0,0,0,0,0,0,17,1,4,66.92046277,1
42751447,1,0,1,3216.554584,0,0,0,8.076376904,0,0,0,0,0,0,0,0,0,1,172781.1401,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,65.62142259,0
44291860,1,0,1,455.8220619,0,0,0,6.124293954,0,0,0,0,0,0,0,0,0,1,22067.16189,0,0,0,0,0,0,0,0,0,0,0,0,18,6,7,64.50388346,0
46217176,1,0,1,1109.141799,0,0,0,7.012243033,0,0,0,0,0,0,0,0,0,1,21105.90497,0,0,0,0,0,0,0,0,0,0,0,0,16,2,8,66.48903373,0
46826716,11,4.854042509,0,217.8386455,15.47132877,0.071021966,3.187308051,5.38833468,2.801621219,0.0686133,0.071021966,29.06308654,5.987398439,53.36513749,10.99395759,73.72103334,0.95990826,0.280314344,1067.998088,0,0,-1.46E-13,0,0,0,2.31E-13,0,0.739068013,0.739068013,-7.405868593,8.12528239,22,5,6,0.13031962,1
46976428,1,0,1,23.01278062,0,0,0,3.178586214,0,0,0,0,0,0,0,0,0,1,131901.5163,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,65.19984843,0
47422636,1,0,1,40.62991072,0,0,0,3.728818917,0,0,0,0,0,0,0,0,0,1,126187.1077,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,58.53215086,0
47616223,1,0,1,1101.486331,0,0,0,7.005323209,0,0,0,0,0,0,0,0,0,1,85785.07088,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,66.18994639,0
47633923,3,4.980695936,0,165.6498632,15.03255061,0.090748947,3.018162682,5.115894984,2.774621068,0.086864567,0.090748947,32.23284239,6.471553936,48.59405338,9.756478613,290.1392524,-0.938858596,0.344302973,2783.958286,18.46733374,39.17513075,8.39669284,-7.86539296,7.86539296,-39.17513075,4.872141171,0.879792275,-0.801554871,0.801554871,-5.833605624,-7.820352955,23,3,6,3.209417225,1
48888338,1,0,1,2246.589531,0,0,0,7.717613602,0,0,0,0,0,0,0,0,0,1,32619.072,0,0,0,0,0,0,0,0,0,0,0,0,17,2,8,42.30580722,0
48971236,1,0,1,34.08259108,0,0,0,3.557705027,0,0,0,0,0,0,0,0,0,1,64859.49182,0,0,0,0,0,0,0,0,0,0,0,0,21,6,7,63.75231568,0
49088441,1,0,1,424.1487475,0,0,0,6.052439102,0,0,0,0,0,0,0,0,0,1,32486.81316,0,0,0,0,0,0,0,0,0,0,0,0,20,3,6,19.16214063,0
49304487,1,0,1,0.346854015,0,0,0,0.297771514,0,0,0,0,0,0,0,0,0,1,579342.0998,0,0,0,0,0,0,0,0,0,0,0,0,23,0,3,17.63673194,0
49343570,1,0,1,599.4369082,0,0,0,6.397657571,0,0,0,0,0,0,0,0,0,1,6343.519243,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,26.52831077,0
49498922,1,0,1,526.1714721,0,0,0,6.26752587,0,0,0,0,0,0,0,0,0,1,163283.7756,0,0,0,0,0,0,0,0,0,0,0,0,23,4,8,64.43527355,0
49705111,1,0,1,1683.812872,0,0,0,7.429409782,0,0,0,0,0,0,0,0,0,1,44413.84539,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,55.81852299,0
49907151,12,4.829815077,0,200.3866525,314.0520445,1.567230355,65.02361673,5.305226705,5.752737846,0.942827632,1.567230355,480.9965474,99.58901939,654.7493713,135.5640663,59.9984337,0.866011735,0.500023675,2430.597799,325.1375709,-650.2753194,-202.2028674,134.6377261,134.6377261,650.2753194,-40.21619496,0.638521633,0.994593922,0.994593922,14.07709263,134.8311964,20,3,8,0.508562336,1
50111753,4,4.797640448,0,12.7595777,0,0,0,2.621735142,0,0,0,0,0,0,0,0,0,1,14753.23983,0,0,1.40E-12,0,0,0,2.89E-12,0,0.973129721,0.973129721,0,0,20,2,8,66.85989142,0
50154005,1,0,1,6.356731023,0,0,0,1.99561568,0,0,0,0,0,0,0,0,0,1,316360.7151,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,64.55913709,0
50232090,1,0,1,485.0925614,0,0,0,6.186399061,0,0,0,0,0,0,0,0,0,1,757700.4871,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,19.21307651,0
50442487,1,0,1,0.616722111,0,0,0,0.480400711,0,0,0,0,0,0,0,0,0,1,81882.64788,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,14.67000099,0
50534601,1,0,1,298.3108766,0,0,0,5.701482754,0,0,0,0,0,0,0,0,0,1,452829.413,0,0,0,0,0,0,0,0,0,0,0,0,21,2,3,14.98156055,0
51019821,1,0,1,14.82126172,0,0,0,2.761354714,0,0,0,0,0,0,0,0,0,1,5964.975325,0,0,0,0,0,0,0,0,0,0,0,0,21,3,5,61.37140299,0
51167521,1,0,1,16.02364531,0,0,0,2.834603279,0,0,0,0,0,0,0,0,0,1,174239.6147,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,64.06834065,0
51302326,1,0,1,440.9407094,0,0,0,6.091175732,0,0,0,0,0,0,0,0,0,1,1330.811132,0,0,0,0,0,0,0,0,0,0,0,0,9,1,9,8.173316427,1
51568885,1,0,1,296.9957158,0,0,0,5.69707911,0,0,0,0,0,0,0,0,0,1,203026.6576,0,0,0,0,0,0,0,0,0,0,0,0,23,2,8,66.99447413,0
51688491,7,2.078191774,0,51.10061132,42.85653966,0.838669804,20.62203316,3.953176682,3.780923845,0.609042368,0.838669804,143.5682251,69.08324194,305.27238,146.8932674,85.28463658,0.99661538,0.082205746,7468.561661,0.99727455,-2.849949411,-0.435127435,1.371360164,1.371360164,2.849949411,-5.273702073,0.084777206,0.030361523,0.030361523,146.8255471,4.459903341,21,0,5,64.3224388,0
